LastName;FirstName;BookTitle;PagesNb;Isbn;PublisherName;
Sladek;John;The Steam-Driven Boy and other Strangers;189;58038019;Panther Books;
Sladek;John;Black Alice (novel);235;ISBN 0-11-257522-6 (hardcover reprint edition) & ISBN 2-86930-645-8 (paperback reprint edition);Doubleday (publisher);
Sladek;John;The Müller-Fokker Effect;214;0-09-102480-3;Hutchinson (publisher);
Sleator;William;Interstellar Pig;196;0-14-037595-3;Bantam Books;
Sleator;William;Marco's Millions;160;978-0-525-46441-9;Dutton Children's Books;
Smith;Carmen Giménez;My Mother She Killed Me, My Father He Ate Me;608;978-0-14-311784-1;Penguin Books;
Smith;Clark Ashton;The Black Book of Clark Ashton Smith;141;0-87054-087-4;Arkham House;
Smith;Clark Ashton;Selected Poems (C. A. Smith);403;NA;Arkham House;
Smith;Clark Ashton;Other Dimensions;329;NA;Arkham House;
Smith;Clark Ashton;A Rendezvous in Averoigne;472;0-87054-156-0;Arkham House;
Smith;Clark Ashton;Selected Letters of Clark Ashton Smith;417;ISBN 0-87054-182-X;Arkham House;
Smith;Clark Ashton;Hyperborea (collection);203;0-345-02206-8;Ballantine Books;
Smith;Clark Ashton;Poseidonis (collection);210;0-345-03353-1;Ballantine Books;
Smith;Clark Ashton;Spells and Philtres;54;NA;Arkham House;
Smith;Clark Ashton;The Emperor of Dreams;580;ISBN 0-575-07373-X;Victor Gollancz Ltd;
Smith;Clark Ashton;Men of Avalon / The White Sybil;40;NA;Fantasy Publishing Company, Inc.;
Smith;Clark Ashton;Genius Loci and Other Tales;228;NA;Arkham House;
Smith;Clark Ashton;Out of Space and Time;370;NA;Arkham House;
Smith;Clark Ashton;Poems in Prose;54;NA;Arkham House;
Smith;Clark Ashton;Tales of Science and Sorcery;256;NA;Arkham House;
Smith;Clark Ashton;The Abominations of Yondo;227;NA;Arkham House;
Smith;Clark Ashton;The Dark Chateau;63;NA;Arkham House;
Smith;Clark Ashton;Lost Worlds (book);419;NA;Arkham House;
Smith;Doris Buchanan;A Taste of Blackberries;85;9,78E+12;Thomas Y. Crowell Co.;
Smith;L. Neil;Lando Calrissian and the Flamewind of Oseon;181;0-345-31163-9;Del Rey Books;
Smith;L. Neil;Lando Calrissian and the Mindharp of Sharu;181;0-345-31158-2;Del Rey Books;
Smith;L. Neil;Lando Calrissian and the Starcave of ThonBoka;181;0-345-31164-7;Del Rey Books;
Smith;L.J.;The Initiation (novel);320;ISBN 0061067121;HarperCollins;
Smith;L.J.;The Chosen (L.J. Smith novel);224;ISBN 0-671-55137-X;Simon & Schuster;
Smith;Martin Cruz;Havana Bay (novel);329;0-679-42662-0;Random House;
Smith;Martin Cruz;Gorky Park (novel);365;0-394-51748-2;Random House;
Smith;Martin Cruz;Red Square (novel);432;0-00-271276-8;Random House;
Smith;Martin Cruz;Polar Star (novel);384;0-345-36765-0;Random House;
